gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,80,1,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.8705,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.06,59.03
gfx942,80,2,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10203,8,12.1682,opus_gemm_gfx942_splitk_p1_bk128_256x64x64x128_2x2_16x16x16_0x0x0,0.0,0.06,34.35
gfx942,80,3,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9129,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.23,64.03
gfx942,80,4,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9129,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.23,64.03
gfx942,80,5,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9129,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.23,64.03
gfx942,80,6,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9029,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.46,71.28
gfx942,80,7,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9029,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.46,71.28
gfx942,80,8,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9029,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.46,71.28
gfx942,80,9,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9029,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.46,71.28
gfx942,80,10,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9029,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.46,71.28
gfx942,80,12,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9193,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.68,78.25
gfx942,80,13,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,6.9193,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.68,78.25
gfx942,80,16,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.1745,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.88,82.35
gfx942,80,20,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.4303,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.06,86.17
gfx942,80,24,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.2613,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.3,94.98
gfx942,80,28,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.2943,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.51,101.32
gfx942,80,32,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.4789,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.68,105.43
gfx942,80,36,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.4789,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.68,105.43
gfx942,80,40,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.476,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,2.52,131.9
gfx942,80,48,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.476,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,2.52,131.9
gfx942,80,52,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,7.476,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,2.52,131.9
gfx942,80,64,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,8.7405,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,2.88,135.43
gfx942,80,80,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,8.7405,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,2.88,135.43
gfx942,80,96,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,8.7405,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,2.88,135.43
gfx942,80,128,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,192,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,210,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,243,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,256,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,258,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,280,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,384,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
gfx942,80,420,32,6144,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,10.2587,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,4.91,192.45
